sigma,scale,samples,guard,method,trials,reachable_rate,overall_success,future_success,current_success,detects_unreachable,false_certificate,mean_norm,mean_min_margin,mean_rank,mean_null_dim
0.35,0.75,8,0.0,estimated,32,1.0,0.34375,0.34375,0.46875,0.0,0.1875,1.3162258978779624,-0.3050889986000347,3.0,0.0
0.35,0.75,8,0.5,guard_0.5,32,1.0,0.25,0.25,0.375,0.0,0.15625,1.6682710142688595,-0.3489264092051773,3.0,0.0
0.35,0.75,8,1.0,guard_1.0,32,1.0,0.25,0.25,0.25,0.0,0.03125,1.7692713913672589,-0.47618591705749524,3.0,0.0
0.35,0.75,32,0.0,estimated,32,1.0,0.59375,0.59375,0.75,0.0,0.15625,1.1239078046718898,-0.08089455783456467,3.0,0.0
0.35,0.75,32,0.5,guard_0.5,32,1.0,0.625,0.625,0.6875,0.0,0.0625,1.4005497121515929,-0.02883659070853198,3.0,0.0
0.35,0.75,32,1.0,guard_1.0,32,1.0,0.5625,0.5625,0.625,0.0,0.0625,1.6088500637591032,-0.06063673308663474,3.0,0.0
0.35,0.75,128,0.0,estimated,32,1.0,0.78125,0.78125,0.9375,0.0,0.15625,0.9677574716842573,0.03897791152933451,3.0,0.0
0.35,0.75,128,0.5,guard_0.5,32,1.0,0.875,0.875,0.9375,0.0,0.0625,1.1291967857119962,0.0805966145078102,3.0,0.0
0.35,0.75,128,1.0,guard_1.0,32,1.0,0.84375,0.84375,0.90625,0.0,0.0625,1.2424025990692091,0.10550841763258226,3.0,0.0
0.35,1.0,8,0.0,estimated,32,1.0,0.4375,0.4375,0.625,0.0,0.21875,0.9607378785447592,-0.1988780881934073,3.0,0.0
0.35,1.0,8,0.5,guard_0.5,32,1.0,0.5,0.5,0.625,0.0,0.125,1.548820437736199,-0.09154869583501649,3.0,0.0
0.35,1.0,8,1.0,guard_1.0,32,1.0,0.4375,0.4375,0.46875,0.0,0.03125,1.7457744168986318,-0.17209027456572204,3.0,0.0
0.35,1.0,32,0.0,estimated,32,1.0,0.34375,0.34375,0.71875,0.0,0.40625,0.8941560838274661,-0.2298717940604801,3.0,0.0
0.35,1.0,32,0.5,guard_0.5,32,1.0,0.5625,0.5625,0.71875,0.0,0.15625,1.067342804512758,-0.1317391711726582,3.0,0.0
0.35,1.0,32,1.0,guard_1.0,32,1.0,0.625,0.625,0.71875,0.0,0.09375,1.3324226456767172,-0.08339267853267229,3.0,0.0
0.35,1.0,128,0.0,estimated,32,1.0,0.375,0.375,0.8125,0.0,0.5625,0.7212692971839921,-0.07646825395802832,3.0,0.0
0.35,1.0,128,0.5,guard_0.5,32,1.0,0.78125,0.78125,0.875,0.0,0.15625,0.8295474116754608,-0.03947551685427182,3.0,0.0
0.35,1.0,128,1.0,guard_1.0,32,1.0,0.8125,0.8125,0.90625,0.0,0.125,0.9452903926544233,0.001368876943428795,3.0,0.0
0.35,1.25,8,0.0,estimated,32,1.0,0.1875,0.1875,0.59375,0.0,0.46875,0.8644422437559578,-0.32313133067903854,3.0,0.0
0.35,1.25,8,0.5,guard_0.5,32,1.0,0.28125,0.28125,0.5,0.0,0.28125,1.1589666838599442,-0.30806861172010824,3.0,0.0
0.35,1.25,8,1.0,guard_1.0,32,1.0,0.4375,0.4375,0.5,0.0,0.09375,1.544615473892093,-0.2556063158282091,3.0,0.0
0.35,1.25,32,0.0,estimated,32,1.0,0.21875,0.21875,0.625,0.0,0.65625,0.6113667157510919,-0.14074289021257425,3.0,0.0
0.35,1.25,32,0.5,guard_0.5,32,1.0,0.65625,0.65625,0.75,0.0,0.21875,0.8474929348764878,-0.05403671945824694,3.0,0.0
0.35,1.25,32,1.0,guard_1.0,32,1.0,0.75,0.75,0.8125,0.0,0.125,1.0943698459358717,0.018493550275530363,3.0,0.0
0.35,1.25,128,0.0,estimated,32,1.0,0.125,0.125,0.46875,0.0,0.8125,0.5549389528284346,-0.17027255057284596,3.0,0.0
0.35,1.25,128,0.5,guard_0.5,32,1.0,0.25,0.25,0.71875,0.0,0.6875,0.6582677225715589,-0.11254690233681733,3.0,0.0
0.35,1.25,128,1.0,guard_1.0,32,1.0,0.46875,0.46875,0.78125,0.0,0.46875,0.7700883640089721,-0.06247624730053813,3.0,0.0
